ID,Address,Short PC,PC,Price_£,Offer,Period,Status,House Type,Bed,Bath,Recpt,Heating,Windows,Window Type,Garage Description,Garage Size,Garage Type,Driveway,Parking,Garden,Basement,Roofspace,Conservatory,EPC Rating,Rates,Acres,sq ft,Listing Date,Time at this price,Description,URL,Date stamp
338615,"16 Cairo Street, Belfast",BT7,BT7 1QS,85000,Offers around,,For sale,Terrace house,3,1,1,oil,,unknown,,,,,Y,,,,,E43/D66,"£1,015.14 pa",,,,210,3 Bed Terrace house For Sale,http://www.propertypal.com/16-cairo-street-belfast/338615,20160507
338430,"82 Carmel Street, Belfast",BT7,BT7 1QF,104950,Offers around,,For sale,Terrace house,4,2,,,,unknown,,,,,,,,,,D68,"£1,160.16 pa",,,,327,4 Bed Terrace house For Sale,http://www.propertypal.com/82-carmel-street-belfast/338430,20160507
333523,"21A Annadale Green, Belfast",BT7,BT7 3DQ,107000,Price,,For sale,Apartment,1,1,1,oil,,unknown,,,,,,,,,,C77/C77,,,,,231,1 Bed Apartment For Sale,http://www.propertypal.com/21a-annadale-green-belfast/333523,20160507
333011,"8 Candahar Street, Ormeau Road, Belfast",BT7,BT7 3AQ,149950,Offers over,,For sale,End-terrace house,6,1,2,oil,,unknown,,,,,,Y,,,,E42/D58,"£1,051.40 pa",,,,555,6 Bed End-terrace house For Sale,http://www.propertypal.com/8-candahar-street-ormeau-road-belfast/333011,20160507
331056,"54 Palestine Street, Holylands, University Area, Belfast",BT7,BT7 1QL,115000,Offers around,,For sale,End-terrace house,4,2,1,oil,,unknown,,,,,,,,,,D55/D68,,,,,161,4 Bed End-terrace house For Sale,http://www.propertypal.com/54-palestine-street-holylands-university-area-belfast/331056,20160507
331214,"20A &amp; 20B Fitzroy Avenue, Belfast",BT7,BT7 1HW,125000,Asking price,,For sale,Apartment,4,2,2,oil,,unknown,,,,,,,,,,D57/C71,,,,,259,4 Bed Apartment For Sale,http://www.propertypal.com/20a-20b-fitzroy-avenue-belfast/331214,20160507
331163,"69 Walmer Street, Belfast",BT7,BT7 3EA,99950,Offers over,,For sale,Terrace house,2,,1,gas,,unknown,,,,,,,,,,F37/E51,£670.72 pa,,,,377,2 Bed Terrace house For Sale,http://www.propertypal.com/69-walmer-street-belfast/331163,20160507
325300,"76 Walmer Street, Ormeau, Belfast",BT7,BT7 3EB,99500,Price,,For sale,Terrace house,2,,1,oil,,unknown,,,,,,,,,,E51/D63,£706.97 pa,,,,248,2 Bed Terrace house For Sale,http://www.propertypal.com/76-walmer-street-ormeau-belfast/325300,20160507
323634,"Apt 9 Beech House, Wellington Square, Belfast",BT7,BT7 3LQ,164950,Offers around,,For sale,Apartment,3,2,1,gas,,unknown,,,,,,,,,,C77/C77,,,,,276,3 Bed Apartment For Sale,http://www.propertypal.com/apt-9-beech-house-wellington-square-belfast/323634,20160507
322390,"10 Meadow House, 47 The Boulevard, Belfast",BT7,BT7 3LN,169950,Offers around,,For sale,Apartment,3,,1,gas,,unknown,,,,,Y,Y,,,,D68/C75,,,,,274,3 Bed Apartment For Sale,http://www.propertypal.com/10-meadow-house-47-the-boulevard-belfast/322390,20160507
320420,"2 Haypark Avenue, Ormeau Road, Belfast",BT7,BT7 3FD,192500,Asking price,,For sale,Terrace house,5,2,2,gas,,unknown,,,,,Y,,,,,E44/D56,"£1,196.42 pa",,,,494,5 Bed Terrace house For Sale,http://www.propertypal.com/2-haypark-avenue-ormeau-road-belfast/320420,20160507
318261,"23 Agra Street, Ormeau Road, Belfast",BT7,BT7 3AH,79950,Offers around,,For sale,Terrace house,2,,1,gas,,unknown,,,,,,,,,,C69/C72,£561.95 pa,,,,396,2 Bed Terrace house For Sale,http://www.propertypal.com/23-agra-street-ormeau-road-belfast/318261,20160507
317488,"28 Ava Street, Ormeau Road, Belfast",BT7,BT7 3BS,129950,Offers over,,For sale,Terrace house,4,1,1,gas,upvc double glazed windows,double,,,,,,,,,,E48/E50,£797.61 pa,,,,676,4 Bed Terrace house For Sale,http://www.propertypal.com/28-ava-street-ormeau-road-belfast/317488,20160507
299880,"72 University Street, Botanic, South Belfast, Belfast",BT7,BT7 1HB,174950,Offers around,,For sale,Terrace house,,,,,,unknown,,,,,Y,,,,,B86,,,,,252,Terrace house For Sale,http://www.propertypal.com/72-university-street-botanic-south-belfast-belfast/299880,20160507
297739,"75 Hatfield Street, Ormeau Road, Belfast",BT7,BT7 2FB,79950,Offers over,,For sale,Terrace house,2,1,2,oil,pvc double glazed windows with leaded light features,double,,,,,,,,,,D61/C70,£670.72 pa,,,,773,2 Bed Terrace house For Sale,http://www.propertypal.com/75-hatfield-street-ormeau-road-belfast/297739,20160507
282996,"24 Jerusalem Street, Holylands, Belfast",BT7,BT7 1QN,70000,Offers over,,For sale,Terrace house,2,1,1,gas,,unknown,,,,,,,,,,D66/C70,"£1,015.14 pa",,,,537,2 Bed Terrace house For Sale,http://www.propertypal.com/24-jerusalem-street-holylands-belfast/282996,20160507
356522,"7 Brerton Crescent, Newtownbreda, Belfast",BT8,BT8 6QD,199950,Offers over,,For sale,Detached house,3,,,gas,,unknown,attached garage with additional roof storage,single,attached,Y,Y,Y,,,,,"£1,313.66 pa",,,,846,3 Bed Detached house For Sale,http://www.propertypal.com/7-brerton-crescent-newtownbreda-belfast/356522,20160507
345372,"13 Finsbury Gardens, Cairnshill Road, Belfast",BT8,BT8 6GZ,175000,Asking price,,For sale,Semi-detached house,3,1,3,oil,,unknown,,,,Y,Y,Y,,,Y,E50/D67,£967.96 pa,,,,209,3 Bed Semi-detached house For Sale,http://www.propertypal.com/13-finsbury-gardens-cairnshill-road-belfast/345372,20160507
364981,"147 Ballycoan Road, Drumbo Road, Belfast",BT8,BT8 8LN,699950,Offers around,,For sale,Detached house,5,,3,oil,,unknown,detached garage with self-contained first floor office space/play room/storage space,single,detached,Y,Y,Y,,,,D61/D62,"£2,765.60 pa",,,,,5 Bed Detached house For Sale,http://www.propertypal.com/147-ballycoan-road-drumbo-road-belfast/364981,20160507
364952,"6 Bracken Hill Avenue, Four Winds, Belfast",BT8,BT8 6ZS,225000,Asking price,,For sale,Town House,3,3,1,gas,,unknown,welcoming entrance hall with access to the integral garage,single,integral,Y,Y,Y,,,,B82/B84,"£1,209.95 pa",,,,,3 Bed Town House For Sale,http://www.propertypal.com/6-bracken-hill-avenue-four-winds-belfast/364952,20160507
364945,"20 Upper Malvern Park, Cairnshill Road, Belfast",BT8,BT8 6TE,162500,Asking price,,For sale,Semi-detached house,3,,2,oil,,unknown,,,,,Y,Y,,,,D57/C70,"£1,002.53 pa",,,,,3 Bed Semi-detached house For Sale,http://www.propertypal.com/20-upper-malvern-park-cairnshill-road-belfast/364945,20160507
358272,"52 Greer Park Heights, Newtownbreda Road, Belfast",BT8,BT8 7YG,229950,Asking price,,For sale,Detached house,4,,2,gas,,unknown,driveway &amp; garage,single,detached,Y,Y,Y,,,,C71/C72,"£1,244.52 pa",,,,376,4 Bed Detached house For Sale,http://www.propertypal.com/52-greer-park-heights-newtownbreda-road-belfast/358272,20160507
364250,"123A Saintfield Road, Belfast",BT8,BT8 7HN,375000,Offers around,,For sale,Detached house,4,2,3,gas,,unknown,single,single,detached,Y,Y,Y,,,,D68/D68,,,,,281,4 Bed Detached house For Sale,http://www.propertypal.com/123a-saintfield-road-belfast/364250,20160507
321772,"12 Thompsons Grange, Hillsborough Road, Carryduff, Belfast",BT8,BT8 8TG,259950,Asking price,,For sale,Detached house,4,,3,,,unknown,integral garage,single,integral,Y,Y,Y,,,,E43/E51,"£1,521.08 pa",,,,755,4 Bed Detached house For Sale,http://www.propertypal.com/12-thompsons-grange-hillsborough-road-carryduff-belfast/321772,20160507
356130,"54 Newtownbreda Road, Newtownbreda Village, Belfast",BT8,BT8 6BN,129950,Offers over,,For sale,Terrace house,2,1,1,gas,double glazed windows,double,,,,,,Y,,,,D64/C75,£639.54 pa,,,,722,2 Bed Terrace house For Sale,http://www.propertypal.com/54-newtownbreda-road-newtownbreda-village-belfast/356130,20160507
